p (mbar),Tpot (K),rho (g/m**3),wd(deg)
999.01,295.27,1173.29,235.8
999.11,295.49,1172.55,248.1
999.27,295.23,1173.74,232.6
999.3,295.45,1172.81,235.1
999.25,295.51,1172.53,230.2
999.23,295.55,1172.34,233.2
999.27,295.27,1173.54,229.7
999.23,295.14,1173.96,222.8
999.36,295.22,1173.61,249.8
999.52,294.99,1174.56,265.6
999.56,294.89,1174.96,267
999.55,295.08,1174.18,281.4
999.46,295.44,1172.69,271.3
999.53,295.7,1171.66,264.3
999.55,295.21,1173.57,271.3
999.62,294.57,1176.17,275.2
999.81,294.27,1177.52,276.2
999.89,293.98,1178.71,261.8
999.88,293.74,1179.65,273.3
999.92,293.48,1180.73,271
1000.03,293.27,1181.65,273.3
1000.04,293.13,1182.21,279.8
1000.17,292.92,1183.17,293.6
1000.38,292.74,1184.05,289.5
1000.39,292.55,1184.81,295.2
1000.47,292.36,1185.62,302.8
1000.57,292.24,1186.19,272.1
1000.67,292.3,1186.01,273.3
1000.7,292.27,1186.17,244.9
1000.73,292.21,1186.45,246.5
1000.74,292.16,1186.65,248.6
1000.8,292.15,1186.69,240.1
1000.87,292.09,1186.99,247.3
1000.9,292.11,1186.87,213.8
1000.87,292.09,1186.91,240.4
1000.85,292.05,1187.01,215.4
1000.92,292.02,1187.16,246
1001.01,292.01,1187.26,228.1
1001.16,291.97,1187.44,253.6
1001.19,291.89,1187.69,258.8
1001.15,291.76,1188.12,228.5
1001.1,291.52,1188.93,226.5
1001.07,291.06,1190.64,231.2
1001.05,290.8,1191.63,236.9
1001.07,290.71,1192,219
1001.05,290.67,1192.17,220.9
1001.04,290.69,1192.09,218.7
1001.03,290.74,1191.87,224.1
1001.03,290.74,1191.89,228.1
1001,290.79,1191.7,219.7
1000.91,290.85,1191.35,205.8
1000.91,290.92,1191.06,208.3
1000.9,290.95,1190.97,214.7
1000.89,290.93,1191.07,196.5
1000.92,290.96,1190.97,208.3
1000.99,290.97,1190.95,170.6
1000.95,290.82,1191.45,197.1
1000.96,290.75,1191.77,201.3
1001.01,290.68,1192.19,211
1000.91,290.58,1192.5,203.8
1000.91,290.4,1193.2,208.2
1000.9,290.35,1193.57,203.9
1000.91,290.35,1193.62,208.3
1000.91,290.33,1193.62,210.8
1000.93,290.32,1193.76,221.7
1000.87,290.38,1193.5,211
1000.82,290.43,1193.13,196.7
1000.89,290.49,1192.95,190.5
1000.9,290.58,1192.61,254.3
1000.81,290.67,1192.26,238.5
1000.77,290.69,1192.07,153.8
1000.78,290.58,1192.42,140.2
1000.82,290.41,1193.07,132.2
1000.84,290.29,1193.56,123.4
1000.84,290.14,1194.14,109.3
1000.89,290.04,1194.62,148.4
1000.91,290.04,1194.63,199
1000.92,289.92,1195.14,155.3
1000.94,289.82,1195.58,167.5
1000.95,289.65,1196.34,189.7
1001.03,289.47,1197.17,189.6
1001.01,289.32,1197.84,179.2
1001.03,289.19,1198.45,189
1001.11,289.02,1199.24,202.4
1001.15,288.89,1199.85,194.8
1001.16,289.04,1199.36,222
1001.18,289.25,1198.49,211.9
1001.18,289.4,1197.77,199.5
1001.24,289.56,1197.12,203.7
1001.28,289.86,1195.83,192
1001.24,290.11,1194.8,194.7
1001.22,290.28,1194.04,189.6
1001.17,290.7,1192.17,169.3
1001.25,291.25,1189.99,156
1001.26,291.39,1189.41,173.7
1001.27,291.3,1189.78,189.5
1001.27,291.36,1189.47,130.1
1001.24,292.18,1186.05,153.2
1001.15,292.86,1183.13,152.2
1001.19,293.34,1181.19,151.7
1001.07,293.85,1178.96,149.8
1000.99,294.2,1177.5,144.7
1001.07,295,1174.29,146.6
1001.04,296.02,1170.22,142.4
1001.03,296.41,1168.95,233.7
1001.1,296.01,1170.72,254.8
1001.09,296.17,1170.06,306.5
1001.14,296,1170.86,295.3
1001.03,296.14,1170.23,272.9
1000.91,296.37,1169.34,245.8
1000.85,296.77,1167.63,242.1
1000.81,296.86,1167.15,297.2
1000.83,297.05,1166.44,292.5
1000.76,296.77,1167.46,342.7
1000.72,296.69,1167.73,21.83
1000.77,297.09,1166.23,24.4
1000.73,297.37,1165.11,19.77
1000.65,297.58,1164.21,22.61
1000.52,297.63,1163.92,332.3
1000.42,298.19,1161.5,284.6
1000.38,297.83,1162.97,339.4
1000.28,297.77,1163.12,18.02
1000.23,298.33,1160.87,290.2
1000.2,298.51,1160.37,293.2
1000.16,298.61,1160.36,312.3
1000.07,298.91,1158.94,229.3
1000.02,299.12,1158.15,322.7
999.92,298.63,1159.99,21.17
999.84,299.15,1157.78,294.5
999.75,299.18,1157.53,216
999.78,299.27,1157.1,330.6
999.68,299.44,1156.34,1.42
999.67,299.49,1156,316.1
999.57,299.74,1154.83,125.6
999.52,299.31,1156.34,27.72
999.51,299.17,1156.84,18.81
999.53,299.49,1155.63,275.1
999.47,300.24,1152.65,351.9
999.43,299.64,1155.11,36.28
999.4,299.64,1155.02,49.27
999.34,299.45,1155.8,31.82
999.28,299.39,1156.08,31.02
999.27,299.54,1155.52,19.72
999.21,299.76,1154.69,27.61
999.14,299.72,1154.76,25.96
999.06,300.49,1151.63,33.64
999.06,300.97,1149.83,323.8
999.04,300.32,1152.12,34.9
999.03,300,1153.18,48
998.99,299.83,1153.76,41.26
999.03,299.64,1154.38,40.72
999.05,299.23,1156.02,39.7
999.1,298.94,1157.19,42.3
999.14,299.06,1156.65,53.63
999.13,298.66,1158.26,69.79
999.14,298.65,1158.26,55.09
999.12,298.66,1158.26,47.94
999.1,299.01,1156.84,60.73
999.07,299,1156.85,53.02
999.06,298.87,1157.38,54.72
999.06,298.43,1159.09,64.66
999.08,298.05,1160.67,57.62
999.17,297.87,1161.47,53.54
999.18,297.77,1161.84,46.84
999.22,297.59,1162.51,25.35
999.3,297.37,1163.36,32.41
999.38,297.09,1164.48,33.27
999.44,296.92,1165.21,33.58
999.52,296.75,1165.93,17.97
999.55,296.55,1166.74,19.35
999.57,296.3,1167.72,1.73
999.65,295.99,1168.98,352.5
999.78,295.67,1170.39,0.71
999.79,295.67,1170.44,16.74
999.81,295.62,1170.63,17.81
999.8,295.45,1171.3,7.68
999.85,295.08,1172.76,28.66
999.82,295.01,1173.05,11.48
999.86,294.99,1173.16,11.42
999.91,294.84,1173.79,6.92
999.93,294.68,1174.46,5.84
999.95,294.38,1175.63,19.79
999.95,294.24,1176.17,7.63
999.95,293.87,1177.69,216
999.91,293.58,1178.83,18.28
999.89,293.49,1179.17,30.57
999.86,293.18,1180.37,42.38
999.88,292.94,1181.4,43.61
999.93,292.82,1181.98,59.99
999.98,292.6,1182.89,61.62
1000.01,292.36,1183.9,30.34
999.97,292.2,1184.48,35.84
999.9,292.21,1184.39,30.87
999.95,292,1185.29,290.6
999.89,292.04,1185.09,316.7
999.89,292.02,1185.15,16.01
999.81,291.82,1185.91,27.34
999.79,291.57,1186.92,22.58
999.75,291.29,1188.08,46.66
999.75,291.05,1189.1,156.6
999.8,290.65,1190.88,203.8
999.79,290.45,1191.69,202.1
999.78,290.32,1192.21,234
999.64,290.45,1191.51,276.5
999.61,290.52,1191.19,234.9
999.6,290.57,1190.98,26.45
999.67,290.37,1191.9,58.55
999.7,290.18,1192.8,104
999.69,289.67,1194.99,209.7
999.63,289.36,1196.23,191.4
999.56,289.42,1195.91,215.3
999.56,289.43,1195.91,196.1
999.57,289.27,1196.6,200.7
999.56,289.19,1196.92,211.7
999.49,289.1,1197.23,216.8
999.44,289.08,1197.29,213.2
999.43,288.99,1197.71,136.7
999.36,288.5,1199.85,131
999.39,288.29,1200.73,141.4
999.37,288.14,1201.35,76
999.35,288.01,1201.91,108.1
999.33,287.89,1202.48,122.4
999.32,287.8,1202.85,91.2
999.35,287.71,1203.23,59.55
999.44,287.64,1203.65,109.7
999.52,287.7,1203.46,130.2
999.54,287.65,1203.72,147.9
999.55,287.55,1204.17,164.3
999.56,287.55,1204.15,142.8
999.61,287.71,1203.41,120.9
999.56,288.14,1201.49,79.1
999.6,288.77,1198.84,131.4
999.67,289.48,1196.02,145.5
999.65,289.92,1194.14,140.1
999.62,290.12,1193.28,146.7
999.65,290.01,1193.79,158.1
999.66,290.15,1193.19,142.8
999.68,290.36,1192.31,149
999.68,290.74,1190.66,165
999.7,291.34,1188.15,145.6
999.73,291.84,1186.03,171.5
999.69,292.35,1183.84,179.6
999.66,293.41,1179.44,161.5
999.66,294.11,1176.61,192.5
999.6,294.17,1176.35,187.2
999.57,294.54,1174.74,125.3
999.5,294.81,1173.61,135
999.5,295.23,1171.94,115.8
999.46,295.74,1169.89,145.3
999.45,296.27,1167.76,145.5
999.44,296.78,1165.68,118.8
999.33,297.45,1162.93,157.1
999.3,297.66,1162.09,163.1
999.22,298.06,1160.41,187.1
999.12,298.22,1159.75,179.6
999.05,298.84,1157.19,169.6
999,299.14,1156.18,130.8
998.94,299.13,1156.24,117.7
998.85,299.23,1155.96,93.8
998.72,299.71,1153.84,147.4
998.66,300,1152.6,136.1
998.57,300.04,1152.48,110.1
998.44,300.26,1151.49,89.7
998.32,300.68,1149.75,133
998.25,300.46,1150.64,107.9
998.2,300.85,1148.99,139.8
998.1,300.97,1148.45,151.1
998.03,300.85,1149,185.8
997.95,301.03,1148.26,191.3
997.86,301.21,1147.53,203.8
997.74,301.46,1146.57,174.2
997.66,301.48,1146.43,58.69
997.58,301.58,1146.02,119.3
997.54,301.65,1145.72,122.7
997.41,302.05,1144.06,192.4
997.34,302.1,1143.88,148.7
997.23,302.28,1143.13,155.4
997.13,302.59,1141.87,157.6
997.11,302.61,1141.68,157.9
997.05,302.69,1141.45,82
997.01,302.69,1141.35,140.1
996.95,302.84,1140.87,160.9
996.86,303.09,1139.76,145.3
996.82,303.04,1140.14,83.6
996.75,302.6,1141.69,82.7
996.7,303.12,1139.76,167.3
996.61,303.37,1138.37,136.9
996.63,303.06,1139.62,119.4
996.59,303.22,1139.12,142.3
996.53,303.53,1137.77,147.2
996.48,303.19,1139.06,134
996.37,303.08,1139.51,151.8
996.27,303.03,1139.75,74.4
996.24,302.91,1140.11,83.1
996.16,302.87,1140.18,66.98
996.11,302.74,1140.73,63.57
996.06,302.69,1140.86,75.1
996.03,302.78,1140.4,71.2
995.97,302.82,1140.13,140.4
995.86,303.08,1139.13,139.6
995.79,303.05,1139.17,88.5
995.78,302.84,1139.92,85.4
995.7,302.77,1140.09,82.5
995.62,302.51,1141.09,79.3
995.62,301.97,1143.14,91.4
995.61,301.67,1144.35,85.4
995.62,301.33,1145.68,57.04
995.68,301.05,1146.8,50.27
995.8,300.8,1147.86,47.86
995.88,300.57,1148.77,21.07
995.97,300.28,1150.02,30.82
996.08,299.9,1151.55,21.73
996.1,299.75,1152.13,354.3
996.12,299.54,1152.96,358.1
996.19,299.36,1153.77,6.45
996.13,299.23,1154.25,12.99
996.21,299.01,1155.15,17.72
996.26,298.75,1156.17,17.5
996.34,298.49,1157.13,14.17
996.36,298.22,1158.1,16.19
996.35,298.04,1158.71,14.11
996.32,297.93,1159.05,9.73
996.25,297.77,1159.58,17.08
996.2,297.67,1159.87,41.11
996.21,297.33,1161.23,54.17
996.25,296.74,1163.59,28.04
996.25,296.44,1164.76,4.09
996.24,296.25,1165.52,39.46
996.23,295.91,1166.83,29.95
996.18,295.84,1167.06,327.5
996.19,296.01,1166.41,358.2
996.25,295.67,1167.78,115.4
996.26,295.03,1170.3,187
996.26,294.53,1172.4,219.4
996.24,294.43,1172.83,231.8
996.22,294.59,1172.14,217
996.15,294.67,1171.75,222
996.13,294.34,1173.04,223.5
996.12,294.02,1174.32,232.3
996.06,294.05,1174.12,230.4
996.04,293.86,1174.85,223.3
996.05,292.81,1179.17,196.4
996.05,291.81,1183.3,211.9
995.97,291.72,1183.63,194.5
996,291.5,1184.53,129.7
996.04,291.31,1185.37,87.4
996.06,291.06,1186.44,79.7
996.1,290.8,1187.54,66.95
996.06,290.72,1187.85,21.36
995.98,290.38,1189.22,173.6
995.98,290.13,1190.31,197.1
996.02,290.13,1190.38,197.8
996.09,289.92,1191.24,193.7
996.02,289.83,1191.56,191.1
996.03,289.86,1191.46,85.7
995.99,289.79,1191.75,182.4
995.96,289.68,1192.24,227.7
995.87,289.52,1192.85,197.6
995.81,289.13,1194.46,132.9
995.75,288.95,1195.14,135.7
995.59,288.74,1195.87,108.9
995.49,288.71,1195.93,198.2
995.42,288.95,1194.82,216.3
995.38,289.29,1193.47,200.2
995.39,288.76,1195.76,159.4
995.34,288.4,1197.23,162.1
995.26,288.22,1197.96,171.3
995.26,287.99,1198.95,153.6
995.26,287.99,1198.93,148.4
995.28,287.83,1199.68,153.3
995.33,287.81,1199.79,155.1
995.37,287.95,1199.17,92.2
995.38,288.09,1198.6,99.5
995.45,288.33,1197.65,209
995.49,289.04,1194.64,108.8
995.48,289.67,1192.05,139.7
995.53,289.99,1190.78,157
995.63,290.22,1189.88,185.7
995.64,290.07,1190.48,187.9
995.66,289.93,1191.07,188.8
995.68,290.26,1189.68,181.3
995.67,290.62,1188.12,190.7
995.64,291.71,1183.55,138.6
995.63,292.65,1179.71,148
995.63,293.4,1176.62,153.8
995.64,293.89,1174.62,194.6
995.6,294.23,1173.18,193.5
995.6,295,1170.1,140.5
995.52,295.23,1169.13,143.4
995.44,295.58,1167.68,150.9
995.33,296.05,1165.61,148.7
995.29,296.54,1163.57,147.6
995.23,296.79,1162.57,142.7
995.12,296.92,1161.96,124.5
994.98,297.32,1160.3,174.7
994.9,297.88,1158,163
994.88,298.64,1154.98,154.9
994.84,299.12,1153.19,172.5
994.75,299.47,1151.88,146.7
994.61,299.93,1150.13,170.4
994.44,300.39,1148.33,184.7
994.3,300.75,1146.86,172.4
994.23,301.42,1144.45,171.2
994.04,301.85,1142.9,166.1
993.9,302.12,1141.95,132.4
993.89,302.55,1140.72,153.3
993.8,302.67,1140.39,150.8
993.63,303.13,1138.57,174.5
993.46,302.89,1139.3,164.7
993.37,303.02,1138.78,141.7
993.34,303.24,1138.03,125
993.34,303.25,1138.04,117.5
993.3,303.56,1136.78,126.6
993.27,303.5,1136.72,130.7
993.21,303.97,1135.08,165.9
993.16,304.26,1133.87,139.5
993.1,304.4,1133.38,141.2
992.95,304.58,1132.67,156.9
992.91,304.55,1132.62,120.5
992.82,304.64,1132.33,87.8
992.76,305.03,1130.74,116.4
992.67,305.07,1130.72,127.6
992.62,304.97,1131.22,112.1
992.49,305.03,1130.81,115.1
992.36,305.3,1129.76,127.6
992.3,305.33,1129.54,100.6
992.27,305.44,1128.97,113.5
992.21,305.48,1128.69,111.4
992.08,305.64,1127.78,115.7
992.03,305.51,1128.23,110.5
991.98,305.42,1128.46,127.8
991.91,305.71,1127.21,106.1
991.8,305.63,1127.28,109.9
991.72,305.56,1127.51,110.5
991.57,305.44,1127.79,99.7
991.46,305.63,1126.91,108.6
991.41,305.91,1125.74,119.9
991.31,305.77,1126.35,138.6
991.21,305.75,1126.28,156.7
991.15,305.76,1126.36,135.9
991.08,305.7,1126.6,148.2
990.98,305.66,1126.69,149.8
990.94,305.62,1126.59,148.5
990.93,305.68,1126.15,134.8
990.93,305.88,1125.57,165.4
990.85,305.63,1126.46,179
990.81,305.51,1126.79,182.1
990.71,304.94,1128.81,191
990.76,304.12,1132.08,187
990.77,303.72,1133.62,185.6
990.83,303.4,1134.91,190.9
990.9,303.14,1135.97,188.5
990.9,302.92,1136.8,192.9
990.97,302.66,1137.79,197.2
991.06,302.51,1138.39,198.2
991.13,302.3,1139.16,202.1
991.18,301.97,1140.33,199
991.26,301.54,1141.96,195.7
991.39,301.25,1143.05,197.1
991.53,301.23,1143.14,199.3
991.63,301,1144.03,195.1
991.69,300.79,1144.88,195.6
991.74,300.51,1145.96,191
991.74,300,1147.91,173.5
991.71,299.43,1150.07,164.7
991.73,299.23,1150.88,184.1
991.71,299.03,1151.63,191.9
991.68,298.8,1152.48,190.1
991.6,298.58,1153.27,191.7
991.63,298.43,1153.88,196.7
991.62,298.27,1154.49,208.4
991.6,298.09,1155.16,207.8
991.6,297.97,1155.63,205.9
991.58,297.74,1156.5,200.9
991.58,297.51,1157.4,202.7
991.59,297.25,1158.44,204.1
991.58,297.09,1159.06,206.1
991.58,296.89,1159.85,206.4
991.56,296.6,1160.98,200.1
991.52,296.31,1162.08,198.7
991.48,296.02,1163.18,198.3
991.56,295.83,1164.02,201
991.56,295.65,1164.74,196.3
991.56,295.45,1165.54,202.7
991.56,295.24,1166.34,204.4
991.62,295.2,1166.57,207.5
991.51,295.15,1166.69,199.3
991.47,294.83,1167.92,186.2
991.51,294.5,1169.3,185
991.43,294.26,1170.2,190.2
991.4,294.06,1171.03,195.6
991.4,294.09,1170.95,190.6
991.35,294.07,1170.99,194.6
991.35,294.01,1171.26,191
991.33,293.82,1172.02,190.8
991.38,293.69,1172.62,193.2
991.35,293.69,1172.59,160.3
991.33,293.59,1172.98,156.9
991.3,293.1,1174.92,160.7
991.25,292.27,1178.23,158.2
991.24,291.51,1181.31,151
991.25,291.59,1181.03,143.8
991.29,292.07,1179.17,154.7
991.3,291.74,1180.54,154.6
991.29,291.4,1181.92,140.7
991.33,291.51,1181.48,123.7
991.32,291.62,1181.03,119.7
991.33,291.64,1180.97,139.8
991.36,292.01,1179.51,150.5
991.43,292.03,1179.53,152.2
991.45,292.12,1179.19,165.9
991.45,291.89,1180.13,173.6
991.46,291.51,1181.66,186.9
991.48,291.52,1181.67,181
991.45,291.73,1180.83,177.7
991.45,291.74,1180.81,172.5
991.51,291.3,1182.64,171.1
991.57,290.51,1185.91,176.9
991.57,290.77,1184.8,192.1
991.61,291.75,1180.86,203.4
991.65,292.67,1177.19,184
991.69,292.56,1177.65,188.5
991.7,292.16,1179.22,199.8
991.75,291.79,1180.7,193
991.82,291.89,1180.28,186.4
991.78,292.19,1178.98,189.7
991.7,292.95,1175.79,193
991.67,293.77,1172.4,183.9
991.62,294.48,1169.54,171.7
991.59,295.06,1167.16,173.2
991.61,295.67,1164.71,158.7
991.54,296.16,1162.65,164.2
991.51,296.74,1160.27,161.4
991.54,297.4,1157.66,156
991.58,297.84,1155.99,147
991.59,298.45,1153.57,150.7
991.58,298.64,1152.83,150.5
991.48,299.04,1151.13,152.9
991.44,299.53,1149.24,167.2
991.42,300.16,1146.79,169.8
991.37,300.55,1145.31,204.9
991.36,300.91,1143.87,168.9
991.32,301.23,1142.62,160.7
991.29,301.68,1140.8,167.2
991.2,301.87,1140.11,149.5
991.14,301.95,1139.82,146.9
991.08,302.35,1138.18,145
991.07,302.49,1137.72,135
991,302.75,1136.72,135.2
990.93,302.93,1136.1,147.7
990.84,303.44,1134.14,146.7
990.81,303.68,1133.24,138.4
990.83,303.96,1132.33,153.4
990.78,304.15,1131.57,122.7
990.68,304.4,1130.6,117.7
990.6,304.68,1129.58,136.8
990.61,305.08,1128.04,135.8
990.67,305.27,1127.64,144.2
990.67,305.39,1127.16,145.9
990.62,305.62,1126.27,116.3
990.56,305.97,1125.04,144.9
990.47,305.97,1125,131.8
990.45,306.48,1122.98,156.5
990.35,306.74,1122.02,124.2
990.29,306.64,1122.51,124.9
990.18,307.02,1121.21,136.9
990.07,307.13,1120.75,125.5
989.96,307.23,1120.3,126.7
989.9,307.49,1119.01,145.5
989.84,307.57,1118.87,153
989.83,307.49,1119.11,125.4
989.74,308.05,1117.11,134.5
989.7,308.23,1116.42,142.4
989.64,308.31,1116.07,151.6
989.68,308.17,1116.62,145.7
989.55,308.23,1116.26,153.5
989.51,308.27,1116.08,137.2
989.53,308.31,1115.93,146.4
989.52,308.38,1115.6,131.2
989.51,308.42,1115.46,163.3
989.46,308.43,1115.32,154.9
989.45,308.43,1115.32,165
989.41,308.3,1115.8,148.4
989.35,308.18,1116.15,166.9
989.34,308.18,1116.06,149.6
989.35,308.17,1116.07,178.8
989.37,307.95,1116.88,185.6
989.38,307.98,1116.79,179.5
989.37,308,1116.76,180
989.47,307.89,1117.17,186.7
989.46,307.62,1118.12,188.2
989.52,307.19,1119.78,244.4
989.58,306.71,1121.68,247.7
989.6,306.26,1123.21,242.8
989.71,305.75,1125.18,351.7
989.82,305.41,1126.46,309.3
989.9,305.33,1126.85,237.2
990.01,305.17,1127.61,31.25
990.14,305.21,1127.59,355.5
990.23,305.1,1128.12,330.5
990.36,304.51,1130.35,332.7
990.45,303.79,1133,39.45
990.46,303.25,1135.2,331.6
990.56,302.48,1137.58,117.7
990.64,302.01,1140.13,251.3
990.73,302.2,1139.46,246.3
990.81,301.58,1141.82,239.4
990.89,300,1147.85,215
990.98,300.08,1147.63,239.4
991.08,300.03,1147.77,205.5
991.14,299.69,1149.1,207.6
991.24,299.39,1150.31,213.7
991.3,299.04,1151.74,208.7
991.33,298.81,1152.62,188
991.45,298.45,1154.07,186.8
991.51,298.04,1155.7,223.3
991.57,297.94,1156.12,205.7
991.55,297.75,1156.81,192.9
991.56,297.19,1158.93,180.7
991.57,296.19,1162.75,174.2
991.57,295.76,1164.45,192.8
991.57,295.61,1165.01,191.4
991.59,295.51,1165.42,162.8
991.6,295.34,1166.1,244.5
991.66,295.08,1167.15,107
991.68,294.71,1168.49,104.4
991.69,294.4,1169.76,193.6
991.7,294.46,1169.59,306
991.79,294.65,1168.94,345.6
991.86,294.33,1170.21,184.6
991.86,293.97,1171.61,175.1
991.87,294.15,1170.99,226.2
991.88,294.23,1170.63,139.4
991.95,293.43,1173.8,171.2
991.98,293.25,1174.56,215.4
991.97,293.46,1173.8,220
992.01,293.46,1173.81,233.1
992.06,293.37,1174.17,167.4
992.14,292.5,1177.67,201.5
992.21,292.43,1177.96,205.8
992.27,291.99,1179.89,160.7
992.42,291.53,1181.86,110.6
992.62,291.25,1183.16,81.3
992.67,291.36,1182.72,39.01
992.74,291.63,1181.75,91.6
992.7,291.85,1180.84,97.4
992.78,292.03,1180.15,104.5
992.84,292,1180.37,141.7
992.89,291.96,1180.59,46.03
992.93,291.95,1180.63,87.5
992.96,291.89,1180.92,94.7
992.98,291.59,1182.14,51.13
992.99,291.4,1182.97,20.73
992.99,291.21,1183.74,49.41
992.95,291.06,1184.32,6.51
992.93,290.91,1184.93,29.34
992.98,290.58,1186.28,95.6
993.04,289.88,1189.24,146.3
993.04,289.54,1190.63,336.4
993.05,289.54,1190.65,230.5
993.1,289.6,1190.4,208.4
993.16,289.66,1190.22,213.7
993.22,290.22,1187.89,199.8
993.26,290.8,1185.5,180.5
993.26,291.14,1184.08,198.6
993.29,291.7,1181.79,139.1
993.33,291.86,1181.19,146.8
993.41,291.66,1182.1,163.2
993.46,291.63,1182.28,114.3
993.55,291.97,1180.89,137.1
993.61,292.56,1178.53,166.9
993.61,293.37,1175.24,138.6
993.66,293.94,1172.93,153.6
993.66,294.22,1171.74,167.9
993.69,295.11,1168.07,147.9
993.77,296.01,1164.43,127.6
993.73,296.24,1163.21,86.1
993.7,295.77,1164.64,48.56
993.63,295.62,1165.05,49
993.66,295.83,1164.18,60.99
993.58,296.12,1162.85,59.87
993.63,296.58,1161.01,49.64
993.57,297.12,1158.75,86.2
993.52,297.36,1157.76,87
993.4,297.89,1155.52,63.5
993.38,298.24,1154.12,88.9
993.38,298.7,1152.27,107.9
993.39,299,1151.15,69.35
993.37,299.33,1149.85,65.49
993.29,299.47,1149.25,63.17
993.21,299.68,1148.35,66.35
