p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd(deg)
998.91,20.44,293.69,10.3,52.13,24.07,12.55,11.52,7.85,12.56,1179.59,5.48,8.81,211.1
998.84,20.85,294.11,10.69,52.18,24.68,12.88,11.8,8.06,12.89,1177.71,3.46,5.62,209
998.8,21.48,294.74,10.58,49.81,25.65,12.78,12.88,8,12.79,1175.2,4.91,8.49,206.8
998.81,21.45,294.71,10.52,49.71,25.61,12.73,12.88,7.97,12.74,1175.34,4.83,7.41,209.9
998.82,21.68,294.94,10.21,48.02,25.97,12.47,13.5,7.8,12.49,1174.56,4.03,6.56,216.3
998.8,21.5,294.76,10.1,48.17,25.69,12.37,13.31,7.74,12.39,1175.29,4.7,7.04,217.6
998.91,21.52,294.77,10.22,48.53,25.72,12.48,13.24,7.81,12.49,1175.3,2.99,6.85,218
998.86,21.76,295.02,10.13,47.51,26.1,12.4,13.7,7.76,12.41,1174.32,6.11,9.21,211.9
998.89,21.62,294.87,10.2,48.14,25.87,12.46,13.42,7.79,12.47,1174.89,4.55,6.97,216.5
998.92,21.68,294.93,10.41,48.65,25.97,12.63,13.34,7.9,12.65,1174.6,2.7,5.52,235.4
998.86,22.33,295.59,10.23,46.21,27.02,12.49,14.53,7.81,12.5,1172.02,3.4,5.44,240.5
998.77,22.21,295.47,10.2,46.44,26.82,12.46,14.37,7.79,12.47,1172.4,4.74,7.65,217.8
998.71,22.17,295.44,10.21,46.6,26.76,12.47,14.29,7.8,12.48,1172.49,3.02,5.62,215.2
998.72,22.35,295.62,10.39,46.65,27.05,12.62,14.43,7.9,12.64,1171.72,5.03,7.24,214.1
998.75,21.87,295.14,10.14,47.23,26.27,12.41,13.86,7.76,12.42,1173.74,4.06,7.44,229.3
998.81,22.1,295.36,10.13,46.55,26.64,12.4,14.24,7.76,12.42,1172.91,3.99,7.08,244.2
998.95,22.11,295.36,10.37,47.28,26.66,12.6,14.05,7.89,12.62,1172.94,3.18,7.81,242.7
999.01,22.03,295.27,10.46,47.79,26.53,12.68,13.85,7.93,12.69,1173.29,2.41,4.68,235.8
999.11,22.25,295.49,10.41,47,26.89,12.64,14.25,7.91,12.65,1172.55,2.79,5.44,248.1
999.27,22.01,295.23,10.31,47.37,26.5,12.55,13.95,7.85,12.56,1173.74,1.89,3.38,232.6
999.3,22.23,295.45,10.57,47.56,26.86,12.77,14.08,7.99,12.78,1172.81,2.16,4.36,235.1
999.25,22.29,295.51,10.52,47.24,26.95,12.73,14.22,7.96,12.74,1172.53,3.58,5.84,230.2
999.23,22.33,295.55,10.53,47.15,27.02,12.74,14.28,7.97,12.75,1172.34,3.14,4.64,233.2
999.27,22.05,295.27,10.41,47.56,26.56,12.63,13.93,7.9,12.64,1173.54,3.59,6.04,229.7
999.23,21.92,295.14,10.57,48.47,26.35,12.77,13.58,7.99,12.78,1173.96,2.59,5.48,222.8
999.36,22.01,295.22,10.93,49.37,26.5,13.08,13.42,8.18,13.09,1173.61,3.22,6.08,249.8
999.52,21.79,294.99,11.2,50.94,26.14,13.32,12.83,8.33,13.32,1174.56,2.61,4.18,265.6
999.56,21.69,294.89,11.34,51.73,25.99,13.44,12.54,8.41,13.45,1174.96,2.75,4.76,267
999.55,21.88,295.08,11.36,51.2,26.29,13.46,12.83,8.42,13.47,1174.18,2.17,3.76,281.4
999.46,22.23,295.44,11.32,50,26.86,13.43,13.43,8.4,13.43,1172.69,2.23,3.82,271.3
999.53,22.5,295.7,11.45,49.62,27.3,13.55,13.75,8.47,13.55,1171.66,1.85,3.66,264.3
999.55,22.01,295.21,11.59,51.59,26.5,13.67,12.83,8.55,13.68,1173.57,1.92,3.6,271.3
999.62,21.38,294.57,11.58,53.57,25.5,13.66,11.84,8.54,13.66,1176.17,1.48,3.16,275.2
999.81,21.09,294.27,11.67,54.86,25.05,13.74,11.31,8.59,13.74,1177.52,1.93,4.32,276.2
999.89,20.81,293.98,11.72,55.99,24.62,13.79,10.84,8.62,13.79,1178.71,2.48,4.64,261.8
999.88,20.57,293.74,11.75,56.94,24.26,13.81,10.45,8.64,13.81,1179.65,1.84,3.32,273.3
999.92,20.31,293.48,11.77,57.93,23.87,13.83,10.04,8.65,13.83,1180.73,2.06,3.36,271
1000.03,20.11,293.27,11.82,58.85,23.58,13.88,9.7,8.68,13.88,1181.65,2.15,4.12,273.3
1000.04,19.97,293.13,11.86,59.53,23.38,13.92,9.46,8.7,13.92,1182.21,2.03,4,279.8
1000.17,19.77,292.92,11.89,60.38,23.09,13.94,9.15,8.72,13.94,1183.17,1.25,1.8,293.6
1000.38,19.61,292.74,11.92,61.12,22.86,13.97,8.89,8.73,13.97,1184.05,1.51,2.64,289.5
1000.39,19.42,292.55,11.95,61.97,22.59,14,8.59,8.75,13.99,1184.81,1.1,2.18,295.2
1000.47,19.24,292.36,11.99,62.81,22.34,14.03,8.31,8.77,14.03,1185.62,0.74,1.52,302.8
1000.57,19.13,292.24,11.99,63.24,22.19,14.03,8.16,8.77,14.02,1186.19,1.03,1.76,272.1
1000.67,19.2,292.3,12,63.03,22.28,14.05,8.24,8.78,14.04,1186.01,1.03,1.92,273.3
1000.7,19.17,292.27,12.01,63.2,22.24,14.06,8.19,8.78,14.05,1186.17,0.83,1.2,244.9
1000.73,19.11,292.21,12.03,63.49,22.16,14.07,8.09,8.79,14.06,1186.45,0.83,1.48,246.5
1000.74,19.06,292.16,12.05,63.78,22.09,14.09,8,8.8,14.08,1186.65,0.77,1.18,248.6
1000.8,19.06,292.15,12.12,64.07,22.09,14.15,7.94,8.84,14.14,1186.69,0.69,1.28,240.1
1000.87,19,292.09,12.17,64.52,22.01,14.2,7.81,8.87,14.19,1186.99,0.43,1.24,247.3
1000.9,19.03,292.11,12.26,64.78,22.05,14.28,7.77,8.92,14.27,1186.87,0.49,1,213.8
1000.87,19,292.09,12.39,65.47,22.01,14.41,7.6,9,14.4,1186.91,0.89,1.88,240.4
1000.85,18.96,292.05,12.45,65.9,21.95,14.47,7.49,9.04,14.46,1187.01,0.76,1.68,215.4
1000.92,18.94,292.02,12.51,66.23,21.93,14.52,7.4,9.07,14.51,1187.16,0.5,1.28,246
1001.01,18.93,292.01,12.62,66.77,21.91,14.63,7.28,9.14,14.62,1187.26,0.53,1.88,228.1
1001.16,18.91,291.97,12.8,67.63,21.89,14.8,7.08,9.25,14.78,1187.44,1.44,2.6,253.6
1001.19,18.83,291.89,13.04,69.05,21.78,15.04,6.74,9.39,15.02,1187.69,2.07,3.88,258.8
1001.15,18.7,291.76,13.15,70.1,21.6,15.14,6.46,9.46,15.12,1188.12,1.77,2.64,228.5
1001.1,18.45,291.52,13.48,72.8,21.26,15.48,5.78,9.67,15.46,1188.93,2.25,4.64,226.5
1001.07,17.99,291.06,13.76,76.3,20.66,15.76,4.9,9.85,15.75,1190.64,1.89,3.76,231.2
1001.05,17.73,290.8,13.89,78.2,20.32,15.89,4.43,9.93,15.88,1191.63,1.45,3.1,236.9
1001.07,17.64,290.71,13.94,78.9,20.21,15.94,4.26,9.97,15.93,1192,2.16,3.8,219
1001.05,17.6,290.67,13.88,78.8,20.16,15.88,4.27,9.93,15.87,1192.17,2.46,4.08,220.9
1001.04,17.62,290.69,13.84,78.5,20.18,15.84,4.34,9.9,15.83,1192.09,2.94,4.32,218.7
1001.03,17.67,290.74,13.83,78.2,20.25,15.83,4.41,9.9,15.82,1191.87,1.67,2.76,224.1
1001.03,17.67,290.74,13.81,78.1,20.25,15.81,4.43,9.88,15.8,1191.89,1.44,2.62,228.1
1001,17.71,290.79,13.79,77.8,20.3,15.79,4.51,9.87,15.78,1191.7,1.34,2.08,219.7
1000.91,17.77,290.85,13.79,77.5,20.37,15.79,4.58,9.87,15.78,1191.35,1.14,1.82,205.8
1000.91,17.84,290.92,13.78,77.1,20.46,15.78,4.69,9.86,15.76,1191.06,0.61,1.2,208.3
1000.9,17.87,290.95,13.71,76.6,20.5,15.71,4.8,9.82,15.69,1190.97,0.77,2,214.7
1000.89,17.84,290.93,13.72,76.8,20.46,15.72,4.75,9.83,15.7,1191.07,1.33,2.44,196.5
1000.92,17.88,290.96,13.66,76.3,20.52,15.65,4.86,9.79,15.64,1190.97,1.61,2.96,208.3
1000.99,17.89,290.97,13.79,76.9,20.53,15.79,4.74,9.87,15.77,1190.95,0.83,1.44,170.6
1000.95,17.74,290.82,13.92,78.3,20.34,15.92,4.41,9.95,15.91,1191.45,0.82,1.52,197.1
1000.96,17.67,290.75,13.89,78.5,20.25,15.89,4.35,9.94,15.88,1191.77,0.94,1.48,201.3
1001.01,17.6,290.68,13.72,78,20.16,15.72,4.43,9.83,15.71,1192.19,0.81,1.4,211
1000.91,17.5,290.58,13.69,78.3,20.03,15.68,4.35,9.8,15.67,1192.5,0.96,1.4,203.8
1000.91,17.32,290.4,13.74,79.5,19.8,15.74,4.06,9.84,15.73,1193.2,0.84,1.4,208.2
1000.9,17.27,290.35,13.38,77.9,19.74,15.38,4.36,9.61,15.36,1193.57,1.03,2,203.9
1000.91,17.27,290.35,13.3,77.5,19.74,15.3,4.44,9.56,15.29,1193.62,1.28,1.84,208.3
1000.91,17.25,290.33,13.48,78.5,19.72,15.48,4.24,9.67,15.46,1193.62,1.17,1.52,210.8
1000.93,17.24,290.32,13.31,77.7,19.7,15.31,4.39,9.57,15.3,1193.76,0.73,1.32,221.7
1000.87,17.29,290.38,13.28,77.3,19.77,15.28,4.49,9.55,15.27,1193.5,0.96,1.72,211
1000.82,17.34,290.43,13.51,78.2,19.83,15.51,4.32,9.69,15.49,1193.13,0.72,1.08,196.7
1000.89,17.4,290.49,13.53,78,19.9,15.53,4.38,9.71,15.51,1192.95,0.91,1.36,190.5
1000.9,17.49,290.58,13.5,77.4,20.02,15.49,4.52,9.69,15.48,1192.61,0.44,1.3,254.3
1000.81,17.58,290.67,13.22,75.6,20.13,15.22,4.91,9.51,15.21,1192.26,1.28,1.76,238.5
1000.77,17.59,290.69,13.46,76.7,20.14,15.45,4.69,9.66,15.44,1192.07,0.49,0.84,153.8
1000.78,17.48,290.58,13.7,78.5,20.01,15.7,4.3,9.82,15.69,1192.42,0.75,1.62,140.2
1000.82,17.32,290.41,13.8,79.8,19.8,15.8,4,9.88,15.79,1193.07,1.36,2.28,132.2
1000.84,17.2,290.29,13.88,80.8,19.65,15.88,3.77,9.93,15.87,1193.56,1.26,1.92,123.4
1000.84,17.05,290.14,13.96,82,19.47,15.96,3.5,9.98,15.95,1194.14,0.96,1.78,109.3
1000.89,16.95,290.04,13.92,82.3,19.35,15.92,3.42,9.95,15.91,1194.62,0.7,1.68,148.4
1000.91,16.96,290.04,13.87,82,19.36,15.87,3.48,9.92,15.86,1194.63,0.45,1.04,199
1000.92,16.84,289.92,13.86,82.6,19.21,15.87,3.34,9.92,15.85,1195.14,0.82,1.36,155.3
1000.94,16.74,289.82,13.86,83.1,19.09,15.86,3.23,9.92,15.85,1195.58,0.55,1.28,167.5
1000.95,16.57,289.65,13.77,83.5,18.88,15.77,3.12,9.86,15.75,1196.34,0.89,1.56,189.7
1001.03,16.4,289.47,13.69,84,18.68,15.69,2.99,9.81,15.68,1197.17,0.76,1.48,189.6
1001.01,16.24,289.32,13.63,84.5,18.49,15.63,2.87,9.77,15.61,1197.84,0.68,1.84,179.2
1001.03,16.11,289.19,13.52,84.6,18.34,15.51,2.82,9.7,15.5,1198.45,0.97,1.68,189
1001.11,15.95,289.02,13.45,85.1,18.15,15.45,2.7,9.65,15.43,1199.24,0.75,1.24,202.4
1001.15,15.83,288.89,13.32,85,18.01,15.31,2.7,9.57,15.29,1199.85,1.31,1.96,194.8
1001.16,15.98,289.04,13.04,82.7,18.19,15.04,3.15,9.4,15.02,1199.36,1.28,1.68,222
1001.18,16.19,289.25,13.1,81.9,18.43,15.1,3.34,9.43,15.08,1198.49,1.41,1.88,211.9
1001.18,16.34,289.4,13.32,82.3,18.61,15.32,3.29,9.57,15.3,1197.77,1.39,2.16,199.5
1001.24,16.5,289.56,13.46,82.2,18.8,15.45,3.35,9.66,15.43,1197.12,1.13,1.94,203.7
1001.28,16.81,289.86,13.57,81.2,19.17,15.57,3.6,9.73,15.55,1195.83,0.89,1.48,192
1001.24,17.05,290.11,13.58,80,19.47,15.57,3.89,9.73,15.56,1194.8,1.05,1.52,194.7
1001.22,17.22,290.28,13.65,79.5,19.68,15.65,4.03,9.78,15.63,1194.04,0.88,1.3,189.6
1001.17,17.64,290.7,13.82,78.3,20.21,15.82,4.39,9.89,15.8,1192.17,0.7,1.2,169.3
1001.25,18.19,291.25,13.89,76,20.92,15.9,5.02,9.94,15.88,1189.99,1.2,2.12,156
1001.26,18.34,291.39,13.86,75.1,21.12,15.86,5.26,9.91,15.84,1189.41,1.3,2.12,173.7
1001.27,18.25,291.3,13.87,75.6,21,15.88,5.12,9.92,15.86,1189.78,1.49,2.24,189.5
1001.27,18.31,291.36,13.99,75.9,21.08,16,5.08,10,15.98,1189.47,1.73,2.32,130.1
1001.24,19.12,292.18,14.19,73.1,22.17,16.21,5.96,10.13,16.19,1186.05,1.53,2.44,153.2
1001.15,19.8,292.86,14.31,70.6,23.13,16.33,6.8,10.21,16.31,1183.13,2.02,2.6,152.2
1001.19,20.28,293.34,14.42,69.04,23.83,16.45,7.38,10.28,16.43,1181.19,1.95,2.6,151.7
1001.07,20.78,293.85,14.57,67.6,24.58,16.61,7.96,10.39,16.6,1178.96,1.95,2.94,149.8
1000.99,21.12,294.2,14.59,66.27,25.09,16.63,8.46,10.4,16.61,1177.5,2.51,3.36,144.7
1001.07,21.93,295,14.74,63.68,26.37,16.79,9.58,10.5,16.77,1174.29,0.99,2.48,146.6
1001.04,22.95,296.02,14.73,59.81,28.05,16.78,11.27,10.49,16.76,1170.22,0.78,2.08,142.4
1001.03,23.34,296.41,14.14,56.24,28.72,16.15,12.57,10.1,16.14,1168.95,2.03,3.92,233.7
1001.1,22.94,296.01,13.88,56.67,28.04,15.89,12.15,9.93,15.87,1170.72,1.83,5.28,254.8
1001.09,23.1,296.17,13.92,56.27,28.31,15.93,12.38,9.96,15.91,1170.06,2.06,5.08,306.5
1001.14,22.94,296,13.68,55.92,28.04,15.68,12.36,9.8,15.66,1170.86,2.72,4.96,295.3
